;params;AIC;resid_sum
55;(0, 0, 0, 3, 1, 3, 12);1563.1413235075142;15300754.401034981
56;(0, 0, 0, 3, 2, 0, 12);1563.1413235075142;19326250.1742753
57;(0, 0, 0, 3, 2, 1, 12);1563.1413235075142;21766907.947235193
58;(0, 0, 0, 3, 2, 2, 12);1563.1413235075142;22143069.41871229
59;(0, 0, 0, 3, 2, 3, 12);1563.1413235075142;23462906.46153073
60;(0, 0, 0, 3, 3, 0, 12);1563.1413235075142;7081365.542424405
61;(0, 0, 0, 3, 3, 1, 12);1563.1413235075142;6884416.716669136
62;(0, 0, 0, 3, 3, 2, 12);1563.1413235075142;7031513.193853637
63;(0, 0, 0, 3, 3, 3, 12);1563.1413235075142;7152320.607126798
64;(0, 0, 1, 0, 0, 0, 12);1563.1413235075142;69236720.64070348
65;(0, 0, 1, 0, 0, 1, 12);1563.1413235075142;52921240.46870566
66;(0, 0, 1, 0, 0, 2, 12);1563.1413235075142;48035323.3814593
67;(0, 0, 1, 0, 0, 3, 12);1563.1413235075142;46380496.68739213
68;(0, 0, 1, 0, 1, 0, 12);1563.1413235075142;22582654.897450745
69;(0, 0, 1, 0, 1, 1, 12);1563.1413235075142;16619419.255247068
70;(0, 0, 1, 0, 1, 2, 12);1563.1413235075142;14992732.86864378
71;(0, 0, 1, 0, 1, 3, 12);1563.1413235075142;13829291.08333052
72;(0, 0, 1, 0, 2, 0, 12);1563.1413235075142;-419686.1723280004
73;(0, 0, 1, 0, 2, 1, 12);1563.1413235075142;8076801.431934113
74;(0, 0, 1, 0, 2, 2, 12);1563.1413235075142;11485938.805332072
75;(0, 0, 1, 0, 2, 3, 12);1563.1413235075142;12054730.16412871
76;(0, 0, 1, 0, 3, 0, 12);1563.1413235075142;-3983643.076385322
77;(0, 0, 1, 0, 3, 1, 12);1563.1413235075142;-2090376.3330355724
78;(0, 0, 1, 0, 3, 2, 12);1563.1413235075142;-1018773.8805671632
79;(0, 0, 1, 0, 3, 3, 12);1563.1413235075142;-265032.3718735259
80;(0, 0, 1, 1, 0, 0, 12);1563.1413235075142;45399224.30594818
81;(0, 0, 1, 1, 0, 1, 12);1563.1413235075142;45448496.381610855
82;(0, 0, 1, 1, 0, 2, 12);1563.1413235075142;45448445.84511651
83;(0, 0, 1, 1, 0, 3, 12);1563.1413235075142;45451363.11892629
84;(0, 0, 1, 1, 1, 0, 12);1563.1413235075142;13625371.572802316
85;(0, 0, 1, 1, 1, 1, 12);1563.1413235075142;13118740.329737991
86;(0, 0, 1, 1, 1, 2, 12);1563.1413235075142;13102485.206436995
87;(0, 0, 1, 1, 1, 3, 12);1563.1413235075142;13172303.981506743
88;(0, 0, 1, 1, 2, 0, 12);1563.1413235075142;8290937.502774921
89;(0, 0, 1, 1, 2, 1, 12);1563.1413235075142;11838176.333557293
90;(0, 0, 1, 1, 2, 2, 12);1563.1413235075142;12212454.671488965
91;(0, 0, 1, 1, 2, 3, 12);1563.1413235075142;12186401.956373395
92;(0, 0, 1, 1, 3, 0, 12);1563.1413235075142;-3848249.9443229465
93;(0, 0, 1, 1, 3, 1, 12);1563.1413235075142;-1991268.8930321978
94;(0, 0, 1, 1, 3, 2, 12);1563.1413235075142;-714708.9627798651
95;(0, 0, 1, 1, 3, 3, 12);1563.1413235075142;-2714.1357573796995
96;(0, 0, 1, 2, 0, 0, 12);1563.1413235075142;45449084.18747883
97;(0, 0, 1, 2, 0, 1, 12);1563.1413235075142;45432508.449035466
98;(0, 0, 1, 2, 0, 2, 12);1563.1413235075142;45448122.8715962
99;(0, 0, 1, 2, 0, 3, 12);1563.1413235075142;45447169.351874754
100;(0, 0, 1, 2, 1, 0, 12);1563.1413235075142;13221684.758127507
101;(0, 0, 1, 2, 1, 1, 12);1563.1413235075142;13107801.213125309
102;(0, 0, 1, 2, 1, 2, 12);1563.1413235075142;13104623.567532625
103;(0, 0, 1, 2, 1, 3, 12);1563.1413235075142;13160001.952597788
104;(0, 0, 1, 2, 2, 0, 12);1563.1413235075142;11702193.630943513
105;(0, 0, 1, 2, 2, 1, 12);1563.1413235075142;12553929.026993137
106;(0, 0, 1, 2, 2, 2, 12);1563.1413235075142;12726853.03629562
107;(0, 0, 1, 2, 2, 3, 12);1563.1413235075142;12774185.313384166
108;(0, 0, 1, 2, 3, 0, 12);1563.1413235075142;-962078.7527846498
109;(0, 0, 1, 2, 3, 1, 12);1563.1413235075142;1490626.8185043298
110;(0, 0, 1, 2, 3, 2, 12);1563.1413235075142;2384287.265947633
111;(0, 0, 1, 2, 3, 3, 12);1563.1413235075142;2817081.820410732
112;(0, 0, 1, 3, 0, 0, 12);1563.1413235075142;45448494.53122533
113;(0, 0, 1, 3, 0, 1, 12);1563.1413235075142;45447876.42339762
114;(0, 0, 1, 3, 0, 2, 12);1563.1413235075142;45448123.812316865
115;(0, 0, 1, 3, 0, 3, 12);1563.1413235075142;45449079.155396625
116;(0, 0, 1, 3, 1, 0, 12);1563.1413235075142;13067321.69756261
117;(0, 0, 1, 3, 1, 1, 12);1563.1413235075142;13119986.720912166
118;(0, 0, 1, 3, 1, 2, 12);1563.1413235075142;13141907.100026641
119;(0, 0, 1, 3, 1, 3, 12);1563.1413235075142;13155787.617300209
120;(0, 0, 1, 3, 2, 0, 12);1563.1413235075142;12143205.091735259
121;(0, 0, 1, 3, 2, 1, 12);1563.1413235075142;12621173.813793112
122;(0, 0, 1, 3, 2, 2, 12);1563.1413235075142;12757641.12383996
123;(0, 0, 1, 3, 2, 3, 12);1563.1413235075142;12808739.009802751
124;(0, 0, 1, 3, 3, 0, 12);1563.1413235075142;3655638.6478189095
125;(0, 0, 1, 3, 3, 1, 12);1563.1413235075142;3619018.2639045888
126;(0, 0, 1, 3, 3, 2, 12);1563.1413235075142;3610617.5362336943
127;(0, 0, 1, 3, 3, 3, 12);1563.1413235075142;2394026.6448760265
128;(0, 0, 2, 0, 0, 0, 12);1563.1413235075142;42749490.7654285
129;(0, 0, 2, 0, 0, 1, 12);1563.1413235075142;37709773.3020985
130;(0, 0, 2, 0, 0, 2, 12);1563.1413235075142;36202974.71436527
131;(0, 0, 2, 0, 0, 3, 12);1563.1413235075142;35749650.698719874
132;(0, 0, 2, 0, 1, 0, 12);1563.1413235075142;13678371.152702503
133;(0, 0, 2, 0, 1, 1, 12);1563.1413235075142;11353689.007207273
134;(0, 0, 2, 0, 1, 2, 12);1563.1413235075142;10552896.298819307
135;(0, 0, 2, 0, 1, 3, 12);1563.1413235075142;10003089.100822631
136;(0, 0, 2, 0, 2, 0, 12);1563.1413235075142;-390791.2438585162
137;(0, 0, 2, 0, 2, 1, 12);1563.1413235075142;3986711.187519747
138;(0, 0, 2, 0, 2, 2, 12);1563.1413235075142;6082622.416400924
139;(0, 0, 2, 0, 2, 3, 12);1563.1413235075142;6726703.393235718
140;(0, 0, 2, 0, 3, 0, 12);1563.1413235075142;-2795888.9996303366
141;(0, 0, 2, 0, 3, 1, 12);1563.1413235075142;-1567056.4391908809
142;(0, 0, 2, 0, 3, 2, 12);1563.1413235075142;-851331.668259996
143;(0, 0, 2, 0, 3, 3, 12);1563.1413235075142;-334163.17440498434
144;(0, 0, 2, 1, 0, 0, 12);1563.1413235075142;35529435.42999269
145;(0, 0, 2, 1, 0, 1, 12);1563.1413235075142;35554645.72813304
146;(0, 0, 2, 1, 0, 2, 12);1563.1413235075142;35554669.102708094
147;(0, 0, 2, 1, 0, 3, 12);1563.1413235075142;35556049.92776063
148;(0, 0, 2, 1, 1, 0, 12);1563.1413235075142;9851379.893256908
149;(0, 0, 2, 1, 1, 1, 12);1563.1413235075142;9806939.20737957
150;(0, 0, 2, 1, 1, 2, 12);1563.1413235075142;9789692.153399846
151;(0, 0, 2, 1, 1, 3, 12);1563.1413235075142;9809832.659751125
152;(0, 0, 2, 1, 2, 0, 12);1563.1413235075142;4148054.91668815
153;(0, 0, 2, 1, 2, 1, 12);1563.1413235075142;6703431.6805502325
154;(0, 0, 2, 1, 2, 2, 12);1563.1413235075142;7013324.301080577
155;(0, 0, 2, 1, 2, 3, 12);1563.1413235075142;7035775.541636644
156;(0, 0, 2, 1, 3, 0, 12);1563.1413235075142;-1984356.6056957473
157;(0, 0, 2, 1, 3, 1, 12);1563.1413235075142;-1001160.4416231853
158;(0, 0, 2, 1, 3, 2, 12);1563.1413235075142;-324019.1981625478
159;(0, 0, 2, 1, 3, 3, 12);1563.1413235075142;3617.349182387814
160;(0, 0, 2, 2, 0, 0, 12);1563.1413235075142;35545198.20513746
161;(0, 0, 2, 2, 0, 1, 12);1563.1413235075142;35560022.78199737
162;(0, 0, 2, 2, 0, 2, 12);1563.1413235075142;35554686.3852953
163;(0, 0, 2, 2, 0, 3, 12);1563.1413235075142;35553471.3767744
164;(0, 0, 2, 2, 1, 0, 12);1563.1413235075142;9806049.299245853
165;(0, 0, 2, 2, 1, 1, 12);1563.1413235075142;9795359.699583992
166;(0, 0, 2, 2, 1, 2, 12);1563.1413235075142;9774549.361573115
167;(0, 0, 2, 2, 1, 3, 12);1563.1413235075142;9807307.678675395
168;(0, 0, 2, 2, 2, 0, 12);1563.1413235075142;6652610.965007087
169;(0, 0, 2, 2, 2, 1, 12);1563.1413235075142;7177859.912015528
170;(0, 0, 2, 2, 2, 2, 12);1563.1413235075142;7174700.459349877
171;(0, 0, 2, 2, 2, 3, 12);1563.1413235075142;7194856.012225359
172;(0, 0, 2, 2, 3, 0, 12);1563.1413235075142;-987525.1749841431
