;params;AIC;RMSE
80;(0, 0, 1, 2, 2, 0, 12);974.8202763057626;565776.5515563604
81;(0, 0, 1, 2, 2, 1, 12);976.6976206729535;560169.793805839
82;(0, 0, 1, 2, 2, 2, 12);978.5704508795329;554981.9912180117
83;(0, 0, 1, 2, 2, 3, 12);980.5696968047972;554901.7908259925
84;(0, 0, 1, 3, 0, 0, 12);1776.6274402448971;988258.2798492272
85;(0, 0, 1, 3, 0, 1, 12);1778.6274398115484;988243.928311293
86;(0, 0, 1, 3, 0, 2, 12);1780.6274487128685;988250.0851331761
87;(0, 0, 1, 3, 0, 3, 12);1782.6274358277733;988260.093249391
88;(0, 0, 1, 3, 1, 0, 12);1326.0733720565815;573625.1157558463
89;(0, 0, 1, 3, 1, 1, 12);1328.0565901485122;573262.4653631526
90;(0, 0, 1, 3, 1, 2, 12);1330.0531877348033;573213.5166416919
91;(0, 0, 1, 3, 1, 3, 12);1332.052336763332;573207.7563527887
92;(0, 0, 1, 3, 2, 0, 12);976.7685585549068;564028.021232248
93;(0, 0, 1, 3, 2, 1, 12);978.6480198969433;558783.088840852
94;(0, 0, 1, 3, 2, 2, 12);980.5699485360257;554928.972021178
95;(0, 0, 1, 3, 2, 3, 12);982.5660828723795;554628.9527937416
96;(0, 0, 2, 0, 0, 0, 12);1773.0314689255208;986102.3257668951
97;(0, 0, 2, 0, 0, 1, 12);1773.427342703882;842562.5389607326
98;(0, 0, 2, 0, 0, 2, 12);1775.0853336401276;805347.6845511677
99;(0, 0, 2, 0, 0, 3, 12);1776.9969459960575;794054.6733210509
100;(0, 0, 2, 0, 1, 0, 12);1316.7353553483765;438499.13103230594
101;(0, 0, 2, 0, 1, 1, 12);1318.3581491744446;424452.6508903469
102;(0, 0, 2, 0, 1, 2, 12);1320.246561222301;421225.30651847686
103;(0, 0, 2, 0, 1, 3, 12);1322.1583828991654;417760.0263911336
104;(0, 0, 2, 0, 2, 0, 12);968.2675980219888;507527.5662351401
105;(0, 0, 2, 0, 2, 1, 12);968.7053269016287;447502.5888976059
106;(0, 0, 2, 0, 2, 2, 12);970.2743873316061;434951.52713192493
107;(0, 0, 2, 0, 2, 3, 12);972.1227371225914;434133.01422662736
108;(0, 0, 2, 1, 0, 0, 12);1773.0043907481104;788144.6607292077
109;(0, 0, 2, 1, 0, 1, 12);1774.9685758211522;789426.3521321935
110;(0, 0, 2, 1, 0, 2, 12);1776.9682292765665;789395.2760039603
111;(0, 0, 2, 1, 0, 3, 12);1778.9682294833337;789419.0267432092
112;(0, 0, 2, 1, 1, 0, 12);1318.208499006903;419698.77492736233
